date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:27	64464/64464	---M--	200	added ('OK')	text/plain	date:Fri,%2012%20Feb%202016%2015:14:52%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/fontawesome-webfont.woff2?v=4.4.0	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/fontawesome-webfont93e3.woff2	(from http://premiumtemplatewebsite.com/template/avec/css/font-awesome.min.css)
16:15:39	81284/81284	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2012%20Feb%202016%2015:14:52%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/fontawesome-webfont.woff?v=4.4.0	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/fontawesome-webfont93e3.woff	(from http://premiumtemplatewebsite.com/template/avec/css/font-awesome.min.css)
16:15:39	35514/35514	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2012%20Feb%202016%2015:14:54%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/Simple-Line-Icons.eot	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/Simple-Line-Icons.eot	(from http://premiumtemplatewebsite.com/template/avec/css/simple-line-icons.css)
16:15:45	138204/138204	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2012%20Feb%202016%2015:14:52%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/fontawesome-webfont.ttf?v=4.4.0	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/fontawesome-webfont93e3.ttf	(from http://premiumtemplatewebsite.com/template/avec/css/font-awesome.min.css)
16:15:46	59324/59324	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2012%20Feb%202016%2015:14:55%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/Simple-Line-Icons.woff	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/Simple-Line-Icons.woff	(from http://premiumtemplatewebsite.com/template/avec/css/simple-line-icons.css)
16:15:48	35514/35514	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2012%20Feb%202016%2015:14:54%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/Simple-Line-Icons.eot?	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/Simple-Line-Iconsd41d.eot	(from http://premiumtemplatewebsite.com/template/avec/css/simple-line-icons.css)
16:16:00	547/547	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Feb%202016%2015:14:08%20GMT	http://premiumtemplatewebsite.com/template/avec/css/photo-swipe/default-skin/default-skin.png	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/css/photo-swipe/default-skin/default-skin.png	(from http://premiumtemplatewebsite.com/template/avec/css/photo-swipe/default-skin/default-skin.css)
16:16:03	1554/1554	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Feb%202016%2015:14:08%20GMT	http://premiumtemplatewebsite.com/template/avec/css/photo-swipe/default-skin/default-skin.svg	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/css/photo-swipe/default-skin/default-skin.svg	(from http://premiumtemplatewebsite.com/template/avec/css/photo-swipe/default-skin/default-skin.css)
16:16:05	866/866	---M--	200	added ('OK')	image/gif	date:Fri,%2012%20Feb%202016%2015:14:08%20GMT	http://premiumtemplatewebsite.com/template/avec/css/photo-swipe/default-skin/preloader.gif	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/css/photo-swipe/default-skin/preloader.gif	(from http://premiumtemplatewebsite.com/template/avec/css/photo-swipe/default-skin/default-skin.css)
16:16:07	116/116	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Feb%202016%2015:14:09%20GMT	http://premiumtemplatewebsite.com/template/avec/img/grabbing.png	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/img/grabbing.png	(from http://premiumtemplatewebsite.com/template/avec/css/owl.carousel.css)
16:16:08	349/349	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Feb%202016%2008:16:06%20GMT	http://premiumtemplatewebsite.com/template/avec/css/AjaxLoader.gif	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/css/AjaxLoader.2f.delayed	(from http://premiumtemplatewebsite.com/template/avec/css/owl.theme.css)
16:16:13	35304/35304	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2012%20Feb%202016%2015:14:55%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/Simple-Line-Icons.ttf	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/Simple-Line-Icons.ttf	(from http://premiumtemplatewebsite.com/template/avec/css/simple-line-icons.css)
16:16:17	351/351	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Feb%202016%2008:16:11%20GMT	http://premiumtemplatewebsite.com/template/avec/css/mCSB_buttons.png	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/css/mCSB_buttons.30.delayed	(from http://premiumtemplatewebsite.com/template/avec/css/jquery.mCustomScrollbar.css)
16:25:57	355981/355981	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Feb%202016%2015:14:51%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/fontawesome-webfont.svg?v=4.4.0	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/fontawesome-webfont93e3.svg	(from http://premiumtemplatewebsite.com/template/avec/css/font-awesome.min.css)
